ISSN	median_precovid	count_precovid	median_noncovid	count_noncovid	median	count	Journal	Rank	Categories	Publisher
1463-1318	98.5	186	67.5	210	16.5	12	Colorectal Disease	3754	Gastroenterology (Q1)	Wiley-Blackwell Publishing Ltd
1872-7727	164	219	141	273	30	15	European Journal of Radiology	3821	Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)	Elsevier Ireland Ltd
1874-1754	105	521	93	527	31	15	International Journal of Cardiology	3822	Cardiology and Cardiovascular Medicine (Q1)	Elsevier Ireland Ltd
1661-8564	177	88	211	81	30	14	International Journal of Public Health	4013	Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)	Birkhauser Verlag Basel
1439-0973	117.5	74	103	60	43	25	Infection	4031	Medicine (miscellaneous) (Q1); Infectious Diseases (Q2); Microbiology (medical) (Q2)	Urban und Vogel
1879-0631	75	493	87	656	42	33	Life Sciences	4136	Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)	Elsevier Inc.
1879-1883	114.5	200	127	247	16	20	American Journal of Surgery	4140	Medicine (miscellaneous) (Q1); Surgery (Q1)	Elsevier Inc.
1932-6203	169	8907	169	8242	59	66	PLoS ONE	4187	Multidisciplinary (Q1)	Public Library of Science
1872-7123	162	465	131	339	24	120	Psychiatry Research	4211	Psychiatry and Mental Health (Q1); Biological Psychiatry (Q3)	Elsevier Ireland Ltd
1423-0410	170.5	58	160	62	13.5	12	Vox Sanguinis	4212	Medicine (miscellaneous) (Q1); Hematology (Q2)	Wiley-Blackwell Publishing Ltd
2167-8359	166.5	1092	183	1150	71.5	14	PeerJ	4381	Agricultural and Biological Sciences (miscellaneous) (Q1); Medicine (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q2)	PeerJ Inc.
1878-1705	101	393	91	560	54	14	International Immunopharmacology	4398	Pharmacology (Q1); Immunology (Q2); Immunology and Allergy (Q2)	Elsevier
1527-3296	123	159	106	155	43.5	72	American Journal of Infection Control	4413	Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2); Infectious Diseases (Q2)	Mosby Inc.
2044-8287	215	31	195.5	34	43.5	12	British Journal of Health Psychology	4414	Medicine (miscellaneous) (Q1); Applied Psychology (Q2)	Wiley-Blackwell
1745-6215	224	442	172.5	576	23	51	Trials	4462	Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1)	BioMed Central Ltd.
1558-349X	101.5	270	96	217	26	42	Journal of the American College of Radiology	4477	Radiology, Nuclear Medicine and Imaging (Q1)	Elsevier BV
1472-4146	83	91	75	105	22	17	Journal of Clinical Pathology	4520	Medicine (miscellaneous) (Q1); Pathology and Forensic Medicine (Q1)	BMJ Publishing Group
1878-4046	84.5	166	95	209	22	48	Academic Radiology	4637	Radiology, Nuclear Medicine and Imaging (Q1)	Elsevier USA
1437-4331	121	38	98	131	27.5	50	Clinical Chemistry and Laboratory Medicine	4690	Biochemistry (medical) (Q1); Clinical Biochemistry (Q1); Medicine (miscellaneous) (Q1)	Walter de Gruyter GmbH
1995-9133	204	58	143.5	56	23	55	Journal of Microbiology, Immunology and Infection	4693	Medicine (miscellaneous) (Q1); Immunology and Allergy (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Infectious Diseases (Q2); Microbiology (medical) (Q2)	Elsevier Taiwan LLC
1432-0584	129.5	172	128	270	31	21	Annals of Hematology	4705	Medicine (miscellaneous) (Q1); Hematology (Q2)	Springer Verlag
1530-0447	130	224	142	292	32	22	Pediatric Research	4711	Pediatrics, Perinatology and Child Health (Q1)	Lippincott Williams and Wilkins Ltd.
1099-0496	135	186	115	265	33	28	Pediatric Pulmonology	4843	Pediatrics, Perinatology and Child Health (Q1); Pulmonary and Respiratory Medicine (Q2)	Wiley-Liss Inc.
1522-726X	106	301	80	367	23	26	Catheterization and Cardiovascular Interventions	4899	Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Cardiology and Cardiovascular Medicine (Q2)	Wiley-Liss Inc.
1879-1409	191	120	142	117	31	12	Burns	4979	Critical Care and Intensive Care Medicine (Q1); Emergency Medicine (Q1); Medicine (miscellaneous) (Q1); Surgery (Q1)	Elsevier Ltd.
1532-7361	142	175	136.5	190	36	14	Surgery	21388	Surgery (Q4)	Elsevier BV
